City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,bichura,50.5881,107.6022,261.79,92,{'all': 22},"{'speed': 1.68, 'deg': 153, 'gust': 2.59}",RU,2023-12-03 17:37:19 UTC
53,quchan,37.106,58.5095,282.3,37,{'all': 0},"{'speed': 1.43, 'deg': 174, 'gust': 2.08}",IR,2023-12-03 17:37:20 UTC
54,luwingu,-10.2621,29.9271,290.51,91,{'all': 100},"{'speed': 1.11, 'deg': 298, 'gust': 1.17}",ZM,2023-12-03 17:37:20 UTC
55,lebu,-37.6167,-73.65,286.51,60,{'all': 0},"{'speed': 11.18, 'deg': 193, 'gust': 14.33}",CL,2023-12-03 17:37:20 UTC
56,lubang,13.8584,120.124,300.53,81,{'all': 54},"{'speed': 10.6, 'deg': 72, 'gust': 13.87}",PH,2023-12-03 17:37:20 UTC
57,la'ie,21.6477,-157.9253,297.13,90,{'all': 16},"{'speed': 1.34, 'deg': 165, 'gust': 3.58}",US,2023-12-03 17:37:20 UTC
58,kapuskasing,49.4169,-82.4331,266.2,86,{'all': 40},"{'speed': 1.54, 'deg': 110}",CA,2023-12-03 17:35:18 UTC
59,richards bay,-28.783,32.0377,296.48,75,{'all': 21},"{'speed': 5.65, 'deg': 43, 'gust': 11.88}",ZA,2023-12-03 17:34:20 UTC
60,vernon,50.2581,-119.2691,274.42,91,{'all': 100},"{'speed': 1.54, 'deg': 110}",CA,2023-12-03 17:32:32 UTC
61,al wafrah,28.6392,47.9306,291.24,32,{'all': 0},"{'speed': 3.82, 'deg': 333, 'gust': 3.87}",KW,2023-12-03 17:37:21 UTC
62,itaituba,-4.2761,-55.9836,306.24,55,{'all': 20},"{'speed': 2.57, 'deg': 20}",BR,2023-12-03 17:33:57 UTC
63,urengoy,65.9667,78.3667,243.19,93,{'all': 6},"{'speed': 5.49, 'deg': 358, 'gust': 12.59}",RU,2023-12-03 17:37:21 UTC
64,kulgam,33.65,75.0167,278.08,58,{'all': 99},"{'speed': 0.89, 'deg': 286, 'gust': 2.06}",IN,2023-12-03 17:37:21 UTC
65,daru,-9.0763,143.2092,300.36,85,{'all': 59},"{'speed': 5.2, 'deg': 135, 'gust': 7.89}",PG,2023-12-03 17:37:22 UTC
66,haiku-pauwela,20.9219,-156.3051,297.06,88,{'all': 20},"{'speed': 0, 'deg': 0}",US,2023-12-03 17:37:22 UTC
67,askoy,60.4092,5.226,273.57,93,{'all': 75},"{'speed': 3.09, 'deg': 120}",NO,2023-12-03 17:37:22 UTC
68,naze,28.3667,129.4833,284.66,57,{'all': 90},"{'speed': 2.26, 'deg': 42, 'gust': 2.45}",JP,2023-12-03 17:37:22 UTC
69,longyearbyen,78.2186,15.6401,263.06,79,{'all': 20},"{'speed': 3.09, 'deg': 120}",SJ,2023-12-03 17:37:22 UTC
70,lionel town,17.8101,-77.2406,306.09,60,{'all': 8},"{'speed': 5.32, 'deg': 104, 'gust': 6.96}",JM,2023-12-03 17:37:23 UTC
71,tiksi,71.6872,128.8694,247.99,99,{'all': 100},"{'speed': 4.27, 'deg': 246, 'gust': 5.4}",RU,2023-12-03 17:37:23 UTC
72,hithadhoo,-0.6,73.0833,300.96,79,{'all': 26},"{'speed': 4.17, 'deg': 137, 'gust': 4.42}",MV,2023-12-03 17:37:23 UTC
73,mogadishu,2.0371,45.3438,301.0,78,{'all': 57},"{'speed': 9.31, 'deg': 75, 'gust': 12.23}",SO,2023-12-03 17:37:23 UTC
74,ghazni,33.5536,68.4269,276.71,50,{'all': 38},"{'speed': 1.89, 'deg': 334, 'gust': 1.89}",AF,2023-12-03 17:37:23 UTC
75,tual,-5.6667,132.75,301.57,74,{'all': 78},"{'speed': 3.11, 'deg': 121, 'gust': 3.44}",ID,2023-12-03 17:37:24 UTC
76,arraial do cabo,-22.9661,-42.0278,306.13,66,{'all': 40},"{'speed': 9.77, 'deg': 90}",BR,2023-12-03 17:36:36 UTC
77,klyuchi,52.2667,79.1667,270.1,88,{'all': 82},"{'speed': 10.7, 'deg': 269, 'gust': 16.5}",RU,2023-12-03 17:37:24 UTC
78,tazovsky,67.4667,78.7,244.42,93,{'all': 15},"{'speed': 4.84, 'deg': 355, 'gust': 10.95}",RU,2023-12-03 17:37:24 UTC
79,port lincoln,-34.7333,135.8667,292.02,58,{'all': 3},"{'speed': 2.72, 'deg': 4, 'gust': 2.78}",AU,2023-12-03 17:37:24 UTC
80,jamestown,42.097,-79.2353,286.18,93,{'all': 100},"{'speed': 4.12, 'deg': 200}",US,2023-12-03 17:41:47 UTC
81,borkum,53.5809,6.6915,274.79,80,{'all': 90},"{'speed': 7.93, 'deg': 174, 'gust': 10.54}",DE,2023-12-03 17:37:25 UTC
82,port alfred,-33.5906,26.891,292.69,88,{'all': 72},"{'speed': 0.89, 'deg': 269, 'gust': 2.68}",ZA,2023-12-03 17:37:25 UTC
83,boquira,-12.8231,-42.7306,303.09,40,{'all': 99},"{'speed': 3.25, 'deg': 99, 'gust': 4.96}",BR,2023-12-03 17:37:25 UTC
84,masterton,-40.9597,175.6575,286.97,99,{'all': 100},"{'speed': 1.36, 'deg': 193, 'gust': 4.07}",NZ,2023-12-03 17:37:25 UTC
85,vadso,70.0744,29.7487,271.64,74,{'all': 75},"{'speed': 5.14, 'deg': 340}",NO,2023-12-03 17:37:25 UTC
86,twon-brass,4.3151,6.2418,300.72,78,{'all': 28},"{'speed': 4.45, 'deg': 207, 'gust': 5.02}",NG,2023-12-03 17:37:26 UTC
87,ribeira grande,38.5167,-28.7,289.37,55,{'all': 75},"{'speed': 3.6, 'deg': 70}",PT,2023-12-03 17:37:26 UTC
88,nea alikarnassos,35.3333,25.1667,291.97,63,{'all': 20},"{'speed': 8.23, 'deg': 180}",GR,2023-12-03 17:37:26 UTC
89,bilibino,68.0546,166.4372,249.92,99,{'all': 100},"{'speed': 0.38, 'deg': 278, 'gust': 0.61}",RU,2023-12-03 17:37:26 UTC
90,ndele,8.4109,20.6473,301.27,33,{'all': 83},"{'speed': 1.08, 'deg': 47, 'gust': 1.2}",CF,2023-12-03 17:37:26 UTC
91,tolanaro,-25.0319,46.9987,296.19,68,{'all': 40},"{'speed': 6.17, 'deg': 100}",MG,2023-12-03 17:37:27 UTC
92,severo-yeniseyskiy,60.3725,93.0408,261.25,97,{'all': 100},"{'speed': 1.34, 'deg': 155, 'gust': 1.79}",RU,2023-12-03 17:37:27 UTC
93,marion,39.7684,-86.1555,280.39,91,{'all': 100},"{'speed': 6.17, 'deg': 240, 'gust': 10.29}",US,2023-12-03 17:36:02 UTC
94,kayes,14.0,-11.0,307.21,12,{'all': 96},"{'speed': 3.33, 'deg': 64, 'gust': 4.41}",ML,2023-12-03 17:37:27 UTC
95,qacha's nek,-30.1154,28.6894,291.43,47,{'all': 100},"{'speed': 0.87, 'deg': 116, 'gust': 1.14}",LS,2023-12-03 17:37:27 UTC
96,keflavik,64.0049,-22.5624,274.1,80,{'all': 75},"{'speed': 7.72, 'deg': 70}",IS,2023-12-03 17:37:28 UTC
97,cooper's town,26.8667,-77.5167,298.5,87,{'all': 37},"{'speed': 4.38, 'deg': 205, 'gust': 5.82}",BS,2023-12-03 17:37:28 UTC
98,punta arenas,-53.15,-70.9167,282.21,66,{'all': 75},"{'speed': 11.83, 'deg': 280}",CL,2023-12-03 17:37:28 UTC
99,carnarvon,-24.8667,113.6333,295.8,80,{'all': 0},"{'speed': 12.72, 'deg': 186, 'gust': 16.74}",AU,2023-12-03 17:37:28 UTC
100,troitskoye,52.9821,84.6757,273.88,97,{'all': 100},"{'speed': 7.6, 'deg': 256, 'gust': 15.25}",RU,2023-12-03 17:37:28 UTC
101,invercargill,-46.4,168.35,282.41,64,{'all': 94},"{'speed': 4.3, 'deg': 246, 'gust': 7.6}",NZ,2023-12-03 17:37:29 UTC
102,mezhdurechenskiy,59.6,65.9333,252.5,92,{'all': 60},"{'speed': 2.78, 'deg': 346, 'gust': 7.35}",RU,2023-12-03 17:37:29 UTC
103,pindiga,9.9833,10.9333,301.42,15,{'all': 71},"{'speed': 1.8, 'deg': 34, 'gust': 2.31}",NG,2023-12-03 17:37:29 UTC
104,dalandzadgad,43.5708,104.425,268.07,49,{'all': 60},"{'speed': 1.54, 'deg': 236, 'gust': 1.96}",MN,2023-12-03 17:37:29 UTC
105,thompson,55.7435,-97.8558,267.24,100,{'all': 100},"{'speed': 1.03, 'deg': 0}",CA,2023-12-03 17:37:30 UTC
106,hasaki,35.7333,140.8333,278.37,51,{'all': 0},"{'speed': 6.79, 'deg': 335, 'gust': 9.54}",JP,2023-12-03 17:37:30 UTC
107,sechelt,49.4664,-123.7694,281.15,93,{'all': 100},"{'speed': 4.64, 'deg': 95, 'gust': 8.4}",CA,2023-12-03 17:37:30 UTC
108,sinop,41.7711,34.8709,282.39,66,{'all': 100},"{'speed': 3.76, 'deg': 193, 'gust': 4.99}",TR,2023-12-03 17:37:30 UTC
109,altai,46.3722,96.2583,266.06,54,{'all': 71},"{'speed': 3.5, 'deg': 228, 'gust': 5.1}",MN,2023-12-03 17:37:31 UTC
110,turkmenbasy,40.0222,52.9552,285.58,62,{'all': 0},"{'speed': 6.17, 'deg': 110}",TM,2023-12-03 17:37:31 UTC
111,northam,51.0333,-4.2167,283.52,96,{'all': 100},"{'speed': 4.56, 'deg': 133, 'gust': 9.03}",GB,2023-12-03 17:37:31 UTC
112,tsiombe,-25.3,45.4833,295.11,66,{'all': 0},"{'speed': 7.66, 'deg': 113, 'gust': 12.04}",MG,2023-12-03 17:37:31 UTC
113,puerto ayora,-0.7393,-90.3518,300.13,91,{'all': 83},"{'speed': 2.68, 'deg': 150, 'gust': 5.36}",EC,2023-12-03 17:37:31 UTC
